Zip Codes,Senior Centers,Elderly(over 65),Kids Under 5,Cooling Centers,Caregiver (Organizations),Percent 100% Below Poverty Threshold 2013-2017,Percent Between 100% and 150% of Poverty Threshold 2013-2017,Total Percent Below 150% of Poverty Threshold 2013-2017,Affordable housing(buildings),Affordable housing total units
10280,0,6.97%,7.00%,1,0,8.8,5.9,14.7,0,0
10281,0,0%,0%,0,0,8.8,5.9,14.7,0,0
10282,0,6.97%,7.00%,0,0,8.8,5.9,14.7,0,0
10301,2,13.11%,6.60%,1,0,21.2,21.1,42.3,5,587
10302,1,11.40%,5.80%,1,0,21.2,21.1,42.3,2,84
10303,0,9.93%,6.50%,2,0,21.2,21.1,42.3,2,537
10304,1,12.87%,6.20%,2,0,21.2,21.1,42.3,14,1254
10305,2,15.33%,6.30%,2,0,21.2,21.1,42.3,0,0
10306,0,17.71%,4.60%,1,0,14.9,19.6,34.5,0,0
10307,0,11.44%,5%,0,0,12.3,15.1,27.4,0,0
10308,1,17.73%,4.80%,0,0,12.3,15.1,27.4,0,0
10309,1,17.02%,5.90%,0,0,12.3,15.1,27.4,0,0
10310,1,16.97%,6%,1,0,21.2,21.1,42.3,0,0
10311,0,0%,0%,0,0,14.9,19.6,34.5,0,0
10312,1,17.02%,5.90%,1,1,12.3,15.1,27.4,0,0
10314,2,18.24%,5.70%,3,0,14.9,19.6,34.5,2,161
10451,3,10.43%,6.40%,2,1,32.4,37.7,70.1,32,3318
10452,2,8.45%,7.60%,0,0,32.4,37.7,70.1,50,4134
10453,2,8.44%,8.40%,4,0,35.6,35.5,71,79,3497
10454,1,8.70%,7.90%,3,0,31,38.4,69.5,53,2318
10455,4,9.33%,8.40%,2,0,31,38.4,69.5,42,2713
10456,2,8.85%,8.80%,3,0,32.4,37.7,70.1,76,3384
10457,2,8.28%,9.30%,4,0,30.3,38.5,68.9,72,4017
10458,2,7.87%,8.70%,0,0,28.85,38,66.9,45,2156
10459,2,10.65%,9.10%,3,1,31,38.4,69.5,74,2698
10460,1,11.79%,7.80%,1,0,28.95,34.25,63.2,45,3411
10461,2,15.25%,5.70%,2,0,17.3,25.85,43.15,5,253
10462,1,12.02%,6.70%,3,0,20.6,28.8,49.4,9,306
10463,4,17.20%,5.60%,3,0,15.8,23,38.8,9,923
10464,1,0%,0%,0,0,14,22.9,36.9,0,0
10465,2,15.75%,6.90%,0,0,14,22.9,36.9,0,0
10466,1,14.56%,5.10%,3,0,20.9,27.5,48.4,30,214
10467,5,11.39%,7.90%,3,0,20.6,28.8,49.4,43,1912
10468,2,12.30%,8.80%,0,0,27.4,37.5,64.9,24,1642
10469,3,16.05%,5.40%,2,0,20.9,27.5,48.4,41,139
10470,0,14.56%,5.10%,0,0,20.9,27.5,48.4,4,175
10471,1,25.65%,6.70%,0,0,15.8,23,38.8,2,130
10472,2,11.17%,8.20%,4,0,27.6,30,57.5,23,1314
10473,1,14.68%,6.70%,2,0,27.6,30,57.5,28,3427
10474,0,9.74%,7.00%,2,0,31,38.4,69.5,18,829
10475,3,23.95%,4.20%,0,0,14,22.9,36.9,87,15396
11004,0,25.94%,6.10%,0,0,12.3,18.7,31.1,0,0
11101,1,9.87%,6.10%,0,0,18.8,25.6,44.4,8,2995
11102,2,12.63%,5.50%,1,0,18.1,22.4,40.5,5,524
11103,0,13.02%,4.30%,0,0,18.1,22.4,40.5,3,71
11104,1,9.87%,6.10%,0,1,18.8,25.6,44.4,2,58
11105,0,13.97%,5.10%,0,0,18.1,22.4,40.5,10,547
11106,2,11.36%,5.50%,2,0,18.1,22.4,40.5,4,164
11109,0,9.87%,6.10%,0,0,18.8,25.6,44.4,0,0
11201,1,14.53%,6.10%,3,1,11,17.3,28.3,10,2698
11203,3,16.93%,5.50%,3,0,19.5,26.7,46.2,16,846
11204,1,15.87%,11.30%,2,0,27.2,32.4,59.6,0,0
11205,2,10.58%,6.50%,0,0,11,17.3,28.3,25,897
11206,4,12.59%,4.40%,3,0,18.35,28.3,46.65,110,6518
11207,1,11.60%,6.80%,5,0,28.7,30.6,59.3,137,2380
11208,2,10.67%,8%,4,0,28.7,30.6,59.3,63,3265
11209,2,16.36%,9.20%,3,0,19,20.3,39.3,0,0
11210,0,15.12%,6.10%,3,0,18.05,24.35,42.4,17,393
11211,4,7.87%,11.20%,3,0,15.5,26.7,42.2,56,1764
11212,4,16.05%,5.60%,1,0,29.4,31.6,60.9,138,3507
11213,2,12.33%,6.40%,2,0,20.4,24.5,45,32,857
11214,3,15.58%,7.10%,1,0,22.5,27.6,50.1,3,345
11215,1,10.07%,8.20%,1,0,9.6,8.7,18.3,9,210
11216,3,11.20%,6.30%,1,0,20.8,27.2,48.05,125,1760
11217,3,8.76%,7.10%,2,0,11,17.3,28.3,34,2969
11218,0,13.07%,9.30%,2,0,27.2,32.4,59.6,12,78
11219,4,10.91%,14%,1,0,27.2,32.4,59.6,1,7
11220,3,9.80%,7.60%,3,0,27.9,29.8,57.7,45,652
11221,5,11.25%,6.20%,4,0,23,28.65,51.65,147,2122
11222,2,10.91%,4.50%,2,0,15.5,26.7,42.2,33,2290
11223,4,16.65%,8.90%,3,0,18.6,24.5,43.1,5,227
11224,4,25.94%,5.40%,2,0,24.4,28.1,52.5,21,2517
